t (s)	y (m)
12,02	8,428392
12,04	8,436768
12,06	8,445128
12,08	8,453472
12,1	8,4618
12,12	8,470112
12,14	8,478408
12,16	8,486688
12,18	8,494952
12,2	8,5032
12,22	8,511432
12,24	8,519648
12,26	8,527848
12,28	8,536032
12,3	8,5442
12,32	8,552352
12,34	8,560488
12,36	8,568608
12,38	8,576712
12,4	8,5848
12,42	8,592872
12,44	8,600928
12,46	8,608968
12,48	8,616992
12,5	8,625
12,52	8,632992
12,54	8,640968
12,56	8,648928
12,58	8,656872
12,6	8,6648
12,62	8,672712
12,64	8,680608
12,66	8,688488
12,68	8,696352
12,7	8,7042
12,72	8,712032
12,74	8,719848
12,76	8,727648
12,78	8,735432
12,8	8,7432
12,82	8,750952
12,84	8,758688
12,86	8,766408
12,88	8,774112
12,9	8,7818
12,92	8,789472
12,94	8,797128
12,96	8,804768
12,98	8,812392
13	8,82
13,02	8,827592
13,04	8,835168
13,06	8,842728
13,08	8,850272
13,1	8,8578
13,12	8,865312
13,14	8,872808
13,16	8,880288
13,18	8,887752
13,2	8,8952
13,22	8,902632
13,24	8,910048
13,26	8,917448
13,28	8,924832
13,3	8,9322
13,32	8,939552
13,34	8,946888
13,36	8,954208
13,38	8,961512
13,4	8,9688
13,42	8,976072
13,44	8,983328
13,46	8,990568
13,48	8,997792
13,5	9,005
13,52	9,012192
13,54	9,019368
13,56	9,026528
13,58	9,033672
13,6	9,0408
13,62	9,047912
13,64	9,055008
13,66	9,062088
13,68	9,069152
13,7	9,0762
13,72	9,083232
13,74	9,090248
13,76	9,097248
13,78	9,104232
13,8	9,1112
13,82	9,118152
13,84	9,125088
13,86	9,132008
13,88	9,138912
13,9	9,1458
13,92	9,152672
13,94	9,159528
13,96	9,166368
13,98	9,173192
14	9,18
14,02	9,186792
14,04	9,193568
14,06	9,200328
14,08	9,207072
14,1	9,2138
14,12	9,220512
14,14	9,227208
14,16	9,233888
14,18	9,240552
14,2	9,2472
14,22	9,253832
14,24	9,260448
14,26	9,267048
14,28	9,273632
14,3	9,2802
14,32	9,286752
14,34	9,293288
14,36	9,299808
14,38	9,306312
14,4	9,3128
14,42	9,319272
14,44	9,325728
14,46	9,332168
14,48	9,338592
14,5	9,345
14,52	9,351392
14,54	9,357768
14,56	9,364128
14,58	9,370472
14,6	9,3768
14,62	9,383112
14,64	9,389408
14,66	9,395688
14,68	9,401952
14,7	9,4082
14,72	9,414432
14,74	9,420648
14,76	9,426848
14,78	9,433032
14,8	9,4392
14,82	9,445352
14,84	9,451488
14,86	9,457608
14,88	9,463712
14,9	9,4698
14,92	9,475872
14,94	9,481928
14,96	9,487968
14,98	9,493992
15	9,5
15,02	9,505992
15,04	9,511968
15,06	9,517928
15,08	9,523872
15,1	9,5298
15,12	9,535712
15,14	9,541608
15,16	9,547488
15,18	9,553352
15,2	9,5592
15,22	9,565032
15,24	9,570848
15,26	9,576648
15,28	9,582432
15,3	9,5882
15,32	9,593952
15,34	9,599688
15,36	9,605408
15,38	9,611112
15,4	9,6168
15,42	9,622472
15,44	9,628128
15,46	9,633768
15,48	9,639392
15,5	9,645
15,52	9,650592
15,54	9,656168
15,56	9,661728
15,58	9,667272
15,6	9,6728
15,62	9,678312
15,64	9,683808
15,66	9,689288
15,68	9,694752
15,7	9,7002
15,72	9,705632
15,74	9,711048
15,76	9,716448
15,78	9,721832
15,8	9,7272
15,82	9,732552
15,84	9,737888
15,86	9,743208
15,88	9,748512
15,9	9,7538
15,92	9,759072
15,94	9,764328
15,96	9,769568
15,98	9,774792
16	9,78
16,02	9,785192
16,04	9,790368
16,06	9,795528
16,08	9,800672
16,1	9,8058
16,12	9,810912
16,14	9,816008
16,16	9,821088
16,18	9,826152
16,2	9,8312
16,22	9,836232
16,24	9,841248
16,26	9,846248
16,28	9,851232
16,3	9,8562
16,32	9,861152
16,34	9,866088
16,36	9,871008
16,38	9,875912
16,4	9,8808
16,42	9,885672
16,44	9,890528
16,46	9,895368
16,48	9,900192
16,5	9,905
16,52	9,909792
16,54	9,914568
16,56	9,919328
16,58	9,924072
16,6	9,9288
16,62	9,933512
16,64	9,938208
16,66	9,942888
16,68	9,947552
16,7	9,9522
16,72	9,956832
16,74	9,961448
16,76	9,966048
16,78	9,970632
16,8	9,9752
16,82	9,979752
16,84	9,984288
16,86	9,988808
16,88	9,993312
16,9	9,9978
16,92	10,002272
16,94	10,006728
16,96	10,011168
16,98	10,015592
17	10,02
17,02	10,024392
17,04	10,028768
17,06	10,033128
17,08	10,037472
17,1	10,0418
17,12	10,046112
17,14	10,050408
17,16	10,054688
17,18	10,058952
17,2	10,0632
17,22	10,067432
17,24	10,071648
17,26	10,075848
17,28	10,080032
17,3	10,0842
17,32	10,088352
17,34	10,092488
17,36	10,096608
17,38	10,100712
17,4	10,1048
17,42	10,108872
17,44	10,112928
17,46	10,116968
17,48	10,120992
17,5	10,125
17,52	10,128992
17,54	10,132968
17,56	10,136928
17,58	10,140872
17,6	10,1448
17,62	10,148712
17,64	10,152608
17,66	10,156488
17,68	10,160352
17,7	10,1642
17,72	10,168032
17,74	10,171848
17,76	10,175648
17,78	10,179432
17,8	10,1832
17,82	10,186952
17,84	10,190688
17,86	10,194408
17,88	10,198112
17,9	10,2018
17,92	10,205472
17,94	10,209128
17,96	10,212768
17,98	10,216392
18	10,22
18,02	10,223592
18,04	10,227168
18,06	10,230728
18,08	10,234272
18,1	10,2378
18,12	10,241312
18,14	10,244808
18,16	10,248288
18,18	10,251752
18,2	10,2552
18,22	10,258632
18,24	10,262048
18,26	10,265448
18,28	10,268832
18,3	10,2722
18,32	10,275552
18,34	10,278888
18,36	10,282208
18,38	10,285512
18,4	10,2888
18,42	10,292072
18,44	10,295328
18,46	10,298568
18,48	10,301792
18,5	10,305
18,52	10,308192
18,54	10,311368
18,56	10,314528
18,58	10,317672
18,6	10,3208
18,62	10,323912
18,64	10,327008
