t (s)	x (m)
18,48	41,79556096
18,5	41,908125
18,52	42,02091104
18,54	42,13391932
18,56	42,24715008
18,58	42,36060356
18,6	42,47428
18,62	42,58817964
18,64	42,70230272
18,66	42,81664948
18,68	42,93122016
18,7	43,046015
18,72	43,16103424
18,74	43,27627812
18,76	43,39174688
18,78	43,50744076
18,8	43,62336
18,82	43,73950484
18,84	43,85587552
18,86	43,97247228
18,88	44,08929536
18,9	44,206345
18,92	44,32362144
18,94	44,44112492
18,96	44,55885568
18,98	44,67681396
19	44,795
19,02	44,91341404
19,04	45,03205632
19,06	45,15092708
19,08	45,27002656
19,1	45,389355
19,12	45,50891264
19,14	45,62869972
19,16	45,74871648
19,18	45,86896316
19,2	45,98944
19,22	46,11014724
19,24	46,23108512
19,26	46,35225388
19,28	46,47365376
19,3	46,595285
19,32	46,71714784
19,34	46,83924252
19,36	46,96156928
19,38	47,08412836
19,4	47,20692
19,42	47,32994444
19,44	47,45320192
19,46	47,57669268
19,48	47,70041696
19,5	47,824375
19,52	47,94856704
19,54	48,07299332
19,56	48,19765408
19,58	48,32254956
19,6	48,44768
19,62	48,57304564
19,64	48,69864672
19,66	48,82448348
19,68	48,95055616
19,7	49,076865
19,72	49,20341024
19,74	49,33019212
19,76	49,45721088
19,78	49,58446676
19,8	49,71196
19,82	49,83969084
19,84	49,96765952
19,86	50,09586628
19,88	50,22431136
19,9	50,352995
19,92	50,48191744
19,94	50,61107892
19,96	50,74047968
19,98	50,87011996
20	51
